Var1	HasDominantFrequencies
1981	0
1897	0
2001	0
2117	0
2059	0
1909	0
1940	0
2080	0
2093	0
1948	0
1916	0
2025	0
2117	0
2009	1
1990	0
1898	0
1977	0
2127	0
2069	0
1903	0
1932	0
2072	0
2103	0
1975	0
1907	0
1995	0
2118	0
2043	0
1907	0
1951	1
2089	0
2089	0
2080	0
1916	0
1917	0
2053	0
2120	0
1992	0
1899	0
1975	0
2101	0
2063	1
1911	0
1941	0
2069	0
2092	0
1952	0
1901	0
1912	0
2026	0
2123	0
1999	0
1894	0
1978	0
2101	0
2068	0
1908	0
1952	0
2077	0
2106	0
1949	0
1907	0
2004	0
2119	0
2023	0
1994	0
1899	0
1973	0
2098	0
2067	1
1916	0
1930	0
2070	0
2109	1
1960	0
1903	0
2001	0
2124	1
2039	0
1917	0
1951	0
1967	0
2105	0
2063	0
1899	0
1933	0
2066	0
2110	1
1960	0
1907	1
1995	0
2120	0
2028	0
1902	0
1946	0
2093	1
2091	0
1931	0
1926	0
1929	0
2063	0
2109	0
1973	0
1896	0
1995	0
2108	0
2041	0
1909	0
1935	0
2075	0
2104	0
1941	0
1912	0
2019	1
2121	0
2117	0
1993	0
1899	0
1982	0
2116	1
2067	0
1903	0
1931	0
2065	1
2099	0
1965	0
1897	0
1997	0
2112	0
2024	0
1899	0
1944	0
1955	0
2093	0
2085	0
1928	0
1927	0
2053	0
2110	0
1970	0
1909	0
1998	1
2108	0
2044	1
1912	0
1948	1
2087	0
2099	1
1933	0
1931	0
1909	0
2030	0
2119	0
1991	0
1895	0
1983	0
2107	0
2066	0
1913	0
1928	1
2079	0
2111	0
1939	0
1903	1
2025	0
2119	0
2121	0
1996	0
1907	0
1968	0
2109	0
2056	0
1914	0
1935	1
2063	0
2095	0
1949	0
1900	1
2017	0
2111	0
2013	0
1910	1
1909	0
1973	1
2105	0
2053	0
1903	0
1940	0
2067	0
2106	0
1951	0
1903	1
2003	0
2110	0
2021	0
1898	0
1960	0
2099	0
2076	0
2065	0
1914	0
1943	0
2072	0
2105	0
1959	0
1907	0
2015	0
2115	0
2029	0
1906	0
1957	0
2086	0
2077	0
1931	0
1918	0
2045	0
2056	0
2117	1
1972	0
1898	0
2006	0
2131	0
2035	0
1903	0
1951	0
2089	0
2088	0
1932	0
1909	0
2036	0
2109	0
1990	0
1900	0
1904	0
1991	0
2105	0
2053	0
1900	0
1939	0
2082	1
2101	0
1957	0
1926	0
2026	0
2115	0
2010	0
1903	0
1962	0
2106	0
2068	0
2045	0
1913	0
1941	0
2075	0
2103	0
1958	0
1908	0
2009	0
2109	0
2013	0
1903	0
1964	0
2102	0
2085	0
1928	0
1911	0
1927	0
2059	0
2104	0
1960	0
1901	0
2007	0
2116	0
2020	0
1901	0
1947	1
2084	0
2087	0
1935	0
1912	0
2026	0
2119	0
1994	0
1992	0
1909	0
1979	0
2104	0
2055	0
1913	0
1939	1
2071	0
2096	0
1977	0
1898	0
1990	0
2103	0
2039	0
1902	0
1951	0
2079	0
2085	0
2076	1
1915	0
1920	0
2057	0
2108	0
1976	0
1898	0
1973	0
2100	0
2063	0
1904	0
1931	0
2072	0
2108	0
1956	0
1902	0
1917	1
2026	0
2117	0
2007	0
1899	0
1966	0
2119	0
2077	0
1916	1
1929	0
2055	0
2102	0
1971	0
1903	0
2012	0
2105	0
2037	1
2014	0
1911	0
1971	0
2106	0
2065	0
1917	1
1932	0
2055	0
2115	0
1973	0
1909	0
2011	0
2111	0
2035	1
1902	0
1958	1
1957	0
2099	0
2075	0
1920	0
1917	0
2045	0
2117	0
1977	0
1899	0
1988	1
2111	0
2037	0
1916	0
1939	0
2085	0
2104	0
1940	0
1919	1
1917	0
2030	0
2115	0
1980	0
1909	0
1977	1
2104	0
2054	0
1908	0
1939	1
2073	0
2105	0
1955	0
1912	1
2017	0
2109	1
2121	0
2011	0
1909	0
1965	1
2095	0
2060	1
1910	0
1928	0
2045	0
2099	0
1973	0
1912	0
2008	0
2105	0
2025	0
1911	1
1949	0
1959	0
2087	0
2070	0
1926	0
1933	1
2059	0
2103	1
1976	0
1899	0
1979	0
2104	1
2045	0
1916	0
1942	0
2079	0
2089	0
1938	0
1940	0
1917	1
2040	0
2110	0
1982	0
1903	0
1983	0
2123	0
2054	0
1919	0
1941	0
2071	0
2095	0
1950	0
1908	0
2020	1
2117	0
2104	0
1991	0
1902	0
1978	0
2100	0
2042	0
1912	0
1935	0
2069	0
2101	0
1955	0
1916	0
2011	1
2105	0
2010	0
1898	0
1901	0
1973	0
2095	0
2063	0
1927	0
1942	0
2070	0
2105	0
1964	0
1912	0
2003	0
2117	0
2031	0
1900	0
1947	1
2091	0
2084	0
2069	0
1919	0
1931	0
2044	0
2102	0
1980	1
1903	0
2002	0
2115	0
2045	0
2055	0
2087	0
1944	0
1909	0
2079	0
2089	1
1934	0
1915	1
2035	0
2121	1
2005	0
1901	0
1977	0
2103	0
2056	0
1919	1
1934	0
1946	0
2065	0
2102	0
1955	0
1909	1
2013	0
2105	0
2007	0
1907	0
1963	0
2090	1
2068	0
1918	0
1931	0
2059	1
2107	0
1974	1
1961	0
1902	0
2018	0
2116	0
2015	0
1903	1
1979	0
2099	0
2079	0
1934	0
1919	0
2026	0
2108	0
1995	0
1899	0
1989	1
2093	0
2109	0
2031	0
1907	0
1955	0
2075	0
2092	0
1931	0
1927	0
2035	0
2125	0
2003	0
1911	0
1976	0
2092	0
2056	1
1929	0
1919	0
1937	0
2072	1
2095	0
1946	0
1915	0
2020	1
2103	0
1997	0
1900	0
1961	0
2089	0
2077	0
1927	0
1930	0
2057	0
2107	0
2094	0
1959	1
1912	0
2024	1
2111	0
2005	1
1897	0
1975	0
2090	0
2085	1
1932	0
1932	0
2037	0
2107	1
1977	0
1915	0
1991	0
2015	0
2120	0
2024	1
1911	0
1961	0
2095	0
2073	0
1917	0
1903	0
2003	0
2103	0
2019	0
1899	0
1951	0
2095	0
2079	0
1925	1
1928	0
1933	1
2052	0
2109	0
1971	0
1915	0
1997	0
2109	0
2024	0
1902	0
1957	0
2072	0
2090	0
1937	1
1912	0
2029	0
2104	0
2105	0
1972	0
1899	0
1999	0
2104	0
2025	0
1903	1
1958	0
2088	0
2091	0
1941	0
1916	0
2037	1
2111	0
1990	0
1900	0
1907	0
2003	0
2109	1
2027	0
1909	1
1957	0
2084	0
2077	0
1933	1
1916	0
2023	0
2116	0
2007	0
1913	0
1983	0
2095	0
2063	1
2035	0
1917	0
1945	0
2085	0
2084	0
1939	1
1918	0
2031	0
2126	0
1996	1
1907	0
1976	1
2095	0
2067	0
1913	0
1941	1
2069	0
2075	0
2093	0
1945	0
1912	0
2022	1
2108	0
1995	0
1910	0
1967	1
2091	0
2063	1
1913	0
1931	1
2059	0
2106	1
1967	0
1903	1
1911	0
2008	0
2118	0
2029	1
1900	0
1955	1
2095	0
2083	1
1932	0
1918	1
2045	0
2117	1
1981	0
1911	0
1991	0
2111	1
2038	0
2025	0
1911	0
1963	1
2095	0
2085	1
1939	0
1931	1
2027	0
2107	1
1989	0
1899	0
1981	0
2095	0
2043	0
1913	1
1945	0
1955	0
2084	0
2084	0
1941	0
1919	0
2040	0
2108	0
1991	0
1901	0
1980	0
2107	1
2045	0
1918	1
1932	0
2063	0
2091	0
1950	1
1944	0
1919	1
2023	0
2117	1
1995	0
1911	1
1976	0
2100	1
2066	0
1941	1
1907	0
2027	1
2099	0
2021	1
1901	0
1962	1
2103	0
2099	1
2054	0
1917	0
1941	0
2076	0
2100	0
1948	1
1915	0
2009	1
2121	0
2028	1
1898	0
1957	1
2091	0
2077	1
1927	0
1930	1
1941	0
2054	1
2103	0
1963	1
1900	0
2003	1
2117	0
2021	1
1900	0
1959	0
2078	0
2089	0
1934	0
1917	0
2045	0
2117	1
1980	0
1963	1
1901	0
2013	1
2118	0
2025	1
1899	0
1951	0
2079	0
2087	1
1939	0
1909	1
2027	0
2117	1
1991	0
1897	0
1981	0
2101	1
2108	0
2039	1
1911	0
1949	0
2074	0
2091	0
1949	0
1915	0
2021	0
2111	0
2004	0
1901	0
1962	0
2093	1
2072	0
1925	0
1911	0
1942	1
2067	0
2096	1
1951	0
1904	0
2011	0
2117	1
2013	0
1907	0
1967	0
2091	1
2077	0
1928	1
1926	0
2043	0
2101	0
2109	1
1973	0
1903	0
2007	0
2117	0
2031	0
1907	0
1959	0
2071	0
2090	0
1942	0
1912	0
2030	0
2117	0
2010	0
1903	0
1967	0
1993	0
2102	0
2039	0
1909	1
1941	0
2080	0
2089	0
1940	1
1912	0
2009	1
2121	0
2017	0
1898	0
1964	1
2100	0
2077	0
1917	0
1931	0
1937	0
2059	1
2107	0
1966	1
1908	0
2003	0
2109	0
2021	1
1900	0
1957	1
2090	0
2079	0
1929	0
1925	0
2053	0
2117	0
2111	0
1971	0
1901	0
2004	0
2121	0
2031	0
1903	0
1946	1
2079	0
2089	0
1939	0
1909	1
2035	0
2108	0
1992	0
1895	1
1907	0
1995	1
2117	0
2030	0
1912	0
1955	1
2089	0
2085	1
1929	0
1917	0
2034	0
2103	0
1997	0
1901	0
1979	0
2104	0
2066	0
2045	1
1898	0
1944	0
2077	0
2087	1
1940	0
1919	1
2027	0
2119	1
2002	0
1897	0
1974	0
2103	0
2077	0
1910	0
1920	0
2069	0
2083	0
2103	0
1948	0
1903	1
2019	0
2119	0
2011	0
1899	0
1972	0
2092	0
2072	0
1917	1
1926	0
2056	0
2119	0
1974	0
1912	0
1914	1
2001	0
2117	0
2035	0
1909	0
1957	0
2083	0
2093	0
1939	0
1915	0
2030	0
2110	0
1999	0
1899	0
1975	0
2103	0
2063	0
2043	0
1900	0
1957	0
2082	0
2085	0
1932	0
1909	0
2031	1
2121	0
2005	1
1896	0
1973	0
2107	0
2059	1
1907	0
1931	0
1947	0
2087	1
2103	0
1940	0
1917	0
2029	1
2125	0
2015	1
1907	0
1956	0
2098	0
2073	1
1927	0
1915	0
2044	0
2111	0
1975	0
1964	1
1901	0
2007	0
2119	0
2019	0
1901	0
1948	0
2094	0
2079	1
1965	0
1908	0
2007	0
2109	1
2026	0
1903	1
1955	0
2087	1
2095	0
2066	0
1919	0
1925	1
2063	0
2111	1
1957	0
1908	0
2003	0
2109	0
2043	0
1903	0
1951	0
2087	0
2093	0
1943	0
1913	0
1925	1
2045	0
2108	0
1976	0
1897	0
1993	0
2115	0
2039	0
1907	0
1947	0
2075	1
2103	0
1941	1
1903	0
2028	1
2109	0
1999	1
1992	0
1913	0
1992	0
2111	1
2044	0
1912	0
1946	0
2085	1
2109	0
1949	0
1906	0
2024	0
2117	0
2023	0
1899	0
1958	0
1983	0
2101	0
2065	0
1909	0
1947	0
2078	0
2104	0
1947	0
1900	0
2006	1
2106	0
2028	0
1901	0
1955	1
2089	0
2078	0
1933	0
1926	0
1918	0
2063	0
2118	0
1965	0
1908	0
1996	0
2122	0
2037	0
1908	0
1938	0
2079	0
2093	0
1939	0
1912	1
2031	0
2120	0
2109	0
1990	0
1899	0
1993	0
2111	0
2058	0
1908	0
1938	1
2063	0
2107	0
1965	0
1911	0
2008	0
2116	0
2021	0
1901	1
1959	0
1965	0
2100	0
2068	1
1911	0
1933	1
2065	0
2111	0
1959	0
1911	0
2003	0
2116	0
2028	0
1910	0
1946	0
2100	0
2093	0
1934	1
1919	0
1915	1
2059	0
2110	0
1980	0
1907	0
1999	0
2119	0
2035	0
1908	0
1949	0
2085	1
2095	0
1939	0
1913	0
2031	0
2116	0
2124	0
1991	0
1901	0
1994	0
2104	0
2037	0
1908	0
1943	0
2079	1
2105	0
1940	0
1909	0
2028	1
2111	0
2009	1
1904	0
1900	0
1977	0
2105	1
2058	0
1920	1
1945	0
2079	0
2101	0
1942	0
1909	0
2013	0
2117	0
2011	0
1898	0
1961	0
2100	0
2083	0
2063	0
1912	0
1933	0
2068	1
2105	0
1951	1
1912	0
2012	1
2123	0
2039	0
1897	0
1957	0
2086	0
2085	0
1932	0
1917	0
2041	0
2058	0
2111	0
1957	1
1901	0
2009	1
2118	0
2035	0
1899	0
1955	1
2088	0
2088	0
1947	0
1930	0
2037	0
2120	1
1983	0
1894	0
1897	0
1995	0
2120	0
2042	1
1911	0
1944	0
2087	0
2089	0
1938	0
1906	1
2024	0
2119	0
1992	0
1895	0
1983	0
2119	0
2072	0
2028	0
1909	0
1939	0
2075	0
2087	0
1943	0
1916	0
2027	0
2123	1
2003	0
1908	0
1967	0
2104	0
2063	0
1915	0
1939	0
1947	0
2086	0
2102	1
1957	0
1912	0
2022	0
2123	0
2003	0
1907	1
1965	0
2099	0
2071	0
1917	0
1925	0
2040	0
2116	0
1975	0
1966	0
1897	1
2003	0
2119	0
2024	0
1913	0
1962	0
2091	0
2077	0
1965	0
1901	0
2007	0
2116	0
2020	0
1895	0
1949	1
2095	0
2102	0
2071	0
1919	1
1919	0
2053	0
2111	0
1975	0
1897	0
2007	1
2124	0
2038	0
1898	0
1944	1
2077	0
2091	1
1943	0
1907	0
1913	0
2044	0
2116	0
1973	1
1897	0
1983	1
2111	0
2055	1
1915	0
1944	0
2085	0
2103	0
1959	0
1919	1
2023	0
2109	1
2002	0
1977	1
1903	0
1982	1
2117	0
2053	1
1903	0
1939	1
2072	0
2099	0
1959	0
1902	1
2015	0
2119	1
2020	0
1898	0
1973	0
2003	0
2112	0
2055	0
1903	0
1946	0
2075	0
2092	1
1940	0
1909	0
2008	0
2116	0
2008	0
1904	0
1970	0
2093	0
2073	0
1917	0
1911	0
1932	1
2063	0
2123	0
1963	0
1898	0
2008	0
2111	0
2019	0
1914	1
1957	0
2088	0
2091	0
1930	0
1914	0
2040	1
2109	0
2116	0
1965	0
1901	0
2008	0
2119	1
2038	0
1909	0
1965	0
2091	0
2085	0
1932	0
1915	0
2036	0
2121	0
1997	1
1898	0
1988	0
1982	0
2119	0
2041	0
1907	1
1950	0
2088	1
2096	0
1942	0
1911	0
2009	0
2133	0
2031	0
1892	0
1949	1
2092	0
2083	0
1925	0
1917	1
1932	0
2053	0
2111	0
1971	1
1900	0
1998	0
2115	0
2030	0
1909	0
1948	0
2083	0
2091	1
1941	0
1919	0
2034	0
2106	0
2108	0
1967	0
1899	0
2005	0
2121	0
2030	1
1901	0
1943	0
2086	0
2089	0
1938	0
1907	0
2026	0
2119	0
1997	0
1894	0
1880	0
2009	0
2122	0
2027	0
1898	0
1951	0
2087	0
2092	0
1934	0
1910	0
2036	0
2109	0
1993	0
1897	1
1977	0
2118	0
2067	0
2044	0
1903	0
1943	1
2091	0
2104	1
1944	0
1909	0
2025	0
2122	0
2003	0
1901	0
1976	0
2108	0
2063	0
1902	1
1932	0
2072	1
2083	0
2104	1
1945	0
1907	0
2025	0
2123	0
2012	0
1909	0
1975	0
2103	0
2073	0
1914	0
1930	0
2053	0
2107	0
1969	0
1909	0
1910	0
2001	0
2123	0
2025	0
1900	0
1956	0
2093	0
2079	0
1932	0
1916	0
2037	1
2130	0
1993	0
1895	0
1991	0
1908	0
1939	0
2075	0
2107	0
1956	0
1907	0
2007	0
2121	0
2029	0
1907	0
1945	0
2094	1
2083	0
2079	0
1909	0
1918	1
2057	0
2105	1
1966	0
1909	0
2001	0
2123	0
2035	0
1897	0
1949	0
2086	0
2083	0
1920	0
1918	0
1929	1
2053	0
2108	0
1973	0
1901	0
2001	0
2111	1
2030	0
1899	1
1934	0
2079	1
2099	0
1934	1
1915	0
2021	0
2121	0
1995	0
1993	0
1891	0
1995	0
2120	1
2040	0
1897	0
1941	0
2073	1
2091	0
1955	0
1897	0
1996	0
2123	0
2031	0
1893	0
1955	1
2100	0
2100	1
2065	0
1909	1
1919	0
2063	1
2123	0
1966	1
1895	0
1991	1
2117	0
2035	0
1908	0
1947	1
2089	0
2101	1
1937	0
1902	1
1913	0
2046	1
2119	0
1973	0
1907	0
1994	0
2119	0
2040	1
1912	0
1950	1
2075	0
2103	0
1945	0
1908	1
2013	0
2124	0
2014	0
1990	0
1897	0
1977	1
2103	0
2056	1
1911	0
1933	1
2071	0
2104	0
1949	0
1899	0
2011	0
2126	1
2035	0
1903	1
1958	0
1963	1
2108	0
2071	0
1911	0
1919	1
2068	0
2119	0
1964	0
1909	0
2005	0
2118	1
2039	0
1906	0
1947	0
2079	0
2100	0
1928	1
1944	0
1919	1
2037	0
2115	1
1982	0
1895	0
1983	0
2117	1
2040	0
1934	0
1915	0
2045	0
2126	0
1989	0
1903	0
1992	1
2118	0
2111	0
2039	0
1897	1
1932	0
2095	0
2091	0
1943	1
1913	0
2029	1
2123	0
2004	1
1891	0
1976	1
2109	0
2067	0
1916	0
1931	1
1929	0
2071	1
2101	0
1948	0
1903	0
2025	1
2134	0
2014	0
1906	0
1957	0
2093	0
2068	0
1913	0
1929	0
2056	0
2108	0
1964	0
1957	1
1903	0
2011	0
2120	0
2020	1
1895	0
1957	1
2102	0
2089	0
1932	0
1918	0
2045	0
2117	0
1981	0
1901	1
1981	0
2109	1
2116	0
2029	0
1897	0
1949	1
2089	0
2087	0
1927	0
1909	0
2029	0
2120	0
1998	0
1894	0
1980	0
2111	0
2071	0
1908	0
1910	0
1937	0
2083	0
2101	0
1939	0
1906	0
2026	0
2123	0
2001	0
1930	0
1965	0
2096	0
2075	0
1927	1
1917	0
2055	0
2105	0
2124	0
1971	0
1899	0
2009	0
2123	0
2031	0
1899	0
1951	0
2092	1
2091	0
1933	1
1912	0
2027	0
2119	0
2002	0
1897	0
1983	0
1993	0
2122	1
2036	0
1911	0
1958	0
2086	0
2090	0
1935	1
1897	0
2007	0
2118	0
2024	0
1903	0
1955	0
2089	0
2079	0
1926	0
1909	0
1931	0
2057	0
2106	0
1957	0
1899	0
2011	1
2125	0
2037	1
1891	0
1944	1
2090	0
2088	0
1927	0
1918	1
2034	0
2116	1
2118	0
1967	1
1896	0
1996	0
2118	0
2039	1
1896	0
1948	1
2087	0
2099	1
1943	0
1911	1
2028	0
2110	1
2005	0
1891	1
1896	0
1992	1
2117	0
2046	0
1897	0
1947	0
2079	0
2102	1
1939	0
1910	1
2019	0
2119	1
2014	0
1893	1
1963	0
2102	1
2076	0
2079	0
1903	0
1915	1
2065	0
2117	1
1965	0
1907	1
2003	0
2116	1
2036	0
1903	1
1947	0
2087	1
2099	0
1935	0
1912	0
2039	1
2056	0
2121	1
1971	0
1899	1
1989	0
2116	1
2040	0
1892	1
1943	0
2076	0
2095	0
1931	1
1910	0
2030	1
2124	0
1999	1
1893	0
1893	1
1989	0
2119	1
2056	0
1917	1
1941	0
2085	1
2092	0
1948	0
1913	0
2027	1
2123	0
2007	1
1895	0
1975	0
2101	0
2077	0
2063	0
1911	1
1939	0
2076	0
2095	0
1945	1
1897	0
2037	0
2136	0
2009	0
1898	0
1970	0
2097	0
2071	1
1915	0
1930	1
1935	0
2072	0
2117	0
1949	0
1907	0
2017	1
2123	0
2015	0
1892	0
1956	0
2091	0
2093	0
1933	0
1919	1
2031	0
2109	0
1992	0
1972	0
1893	0
1997	0
2109	0
2037	1
1901	0
1943	0
2085	0
2089	0
1951	0
1909	0
2010	0
2124	1
2021	0
1901	0
1957	0
2095	0
2100	0
2065	0
1901	0
1927	0
2063	0
2108	0
1960	0
1897	0
2003	0
2109	0
2038	0
1898	0
1947	0
2085	0
2086	0
1920	1
1908	0
1920	1
2065	0
2121	1
1973	0
1897	1
1991	0
2119	0
2054	0
1900	1
1944	0
2087	1
2099	0
1932	1
1903	0
2028	0
2121	0
1993	0
1977	0
1900	0
1992	0
2109	0
2053	0
1907	1
1944	0
2073	0
2101	0
1937	1
1896	0
2004	0
2115	0
2009	1
1895	0
1966	0
1980	0
2107	0
2068	0
1912	0
1939	0
2073	1
2109	0
1941	0
1903	0
2007	0
2134	0
2026	1
1898	0
1951	1
2103	0
2079	0
1925	0
1913	0
1918	0
2072	0
2104	0
1957	0
1903	0
2001	0
2121	0
2024	1
1907	0
1948	0
2088	0
2099	0
1949	0
1914	0
2035	0
2116	0
2119	0
1972	0
1906	0
1981	0
2111	0
2058	1
1902	0
1932	0
2072	0
2116	0
1945	0
1901	0
2012	0
2123	0
2022	0
1892	0
1974	0
1978	1
2099	0
2065	0
1911	0
1929	0
2070	0
2109	0
1958	0
1901	1
2005	0
2122	1
2028	0
1901	0
1951	0
2092	0
2091	0
1915	1
1911	0
1919	1
2063	0
2125	0
1973	0
1897	0
1998	0
2116	0
2031	0
1900	1
1945	0
2084	0
2095	0
1928	0
1902	0
2035	0
2117	0
2119	1
1967	0
1900	0
1992	0
2115	0
2044	0
1909	1
1945	0
2079	0
2103	0
1933	0
1908	0
2024	0
2121	0
2003	1
1893	0
1903	0
1989	0
2107	0
2056	0
1897	0
1937	0
2077	1
2109	0
1939	0
1897	0
2024	0
2126	0
2010	1
1895	0
1964	1
2101	0
2080	0
2067	0
1912	0
1917	0
2067	0
2109	0
1951	0
1901	0
2003	0
2119	0
2041	0
1895	0
1949	0
2090	0
2103	0
1941	0
1909	0
2027	0
2055	1
2119	0
1975	1
1902	0
1983	0
2120	0
2043	1
1897	0
1941	0
2079	0
2100	0
1942	0
1901	0
2028	0
2118	1
2009	0
1902	0
1902	0
1983	0
2115	0
2044	0
1908	0
1937	1
2083	0
2102	1
1946	0
1897	0
2019	0
2117	0
1999	0
1892	1
1963	0
2105	0
2068	0
2056	0
1903	0
1932	0
2084	0
2105	1
1943	0
1912	0
2023	0
2126	0
2019	0
1898	0
1951	0
2105	1
2075	0
1912	1
1911	0
1913	0
2058	0
2116	0
1966	0
1895	0
1995	0
2125	1
2025	0
1913	0
1945	0
2084	1
2100	0
1931	1
1906	0
2025	0
2127	0
1993	0
1980	0
1903	0
1981	0
2105	0
2045	0
1896	1
1933	0
2078	0
2093	0
1967	0
1898	0
1999	0
2119	0
2021	0
1904	0
1948	0
2085	0
2093	0
2079	0
1901	0
1920	0
2069	0
2105	0
1964	0
1904	0
2003	0
2111	0
2027	0
1896	0
1949	0
2083	0
2098	0
1933	0
1905	0
1917	0
2041	0
2108	0
1974	0
1901	0
1983	0
2108	0
2039	0
1897	0
1945	0
2087	0
2102	0
1934	0
1912	0
2031	0
2122	0
2003	0
1991	0
1903	0
1995	0
2103	0
2057	0
1903	0
1927	1
2075	0
2109	0
1951	0
1896	1
2012	0
2121	0
2018	0
1893	0
1961	0
1971	1
2116	0
2072	0
1913	0
1917	0
2083	0
2111	1
1947	0
1899	0
2001	0
2115	0
2039	0
1897	0
1943	0
2087	0
2089	0
1930	0
1929	0
1915	1
2057	0
2111	0
1971	0
1910	0
1988	0
2109	0
2054	0
1909	0
1940	0
2070	0
2103	0
1941	0
1900	0
2022	0
2119	0
2124	0
2003	0
1887	0
1973	0
2100	0
2069	0
1915	0
1931	0
2059	0
2119	0
1976	0
1903	0
2011	0
2118	0
2027	0
1901	0
1943	0
1947	0
2085	0
2095	0
1926	0
1917	0
2037	1
2110	0
1996	1
1891	0
1982	0
2103	0
2054	0
1904	0
1932	1
2069	0
2119	1
1961	0
1925	0
1906	0
2035	0
2116	0
1992	0
1903	0
1980	1
2107	0
2071	0
1906	0
1929	0
2063	0
2111	0
1951	0
1909	0
2008	0
2123	0
2116	0
2007	1
1901	0
1962	1
2105	0
2063	0
1912	0
1933	0
2063	0
2117	0
1971	0
1899	1
2001	0
2117	1
2032	0
1906	0
1896	0
1965	1
2104	0
2083	1
1912	0
1916	1
2067	0
2111	0
1975	0
1892	0
1983	0
2116	0
2058	0
1898	0
1941	0
2075	1
2107	0
2091	0
1930	0
1909	0
2035	0
2120	1
1993	0
1893	0
1981	0
2107	1
2087	0
1927	1
1919	0
2063	0
2119	0
1965	1
1895	0
1997	1
2021	0
2119	0
2003	0
1901	0
1971	0
2099	0
2075	0
1915	0
1927	0
2055	1
2110	0
1966	0
1912	0
1998	0
2107	0
2036	1
1900	0
1892	0
1964	0
2103	0
2075	0
1919	0
1915	0
2055	1
2119	0
1973	1
1909	0
2002	0
2117	0
2043	0
1903	0
1943	0
2089	0
2102	0
2085	0
1919	0
1912	0
2052	0
2117	0
1976	0
1897	0
1995	0
2109	0
2058	0
1906	0
1934	1
2072	0
2107	0
1945	0
1909	1
1909	0
2027	1
2120	0
2018	1
1899	0
1965	0
2106	0
2067	1
1903	0
1925	0
2063	0
2107	0
1959	0
1907	0
2005	0
2117	1
2030	0
2021	0
1897	0
1959	0
2095	0
2083	0
1919	0
1929	0
2068	0
2111	1
1979	0
1901	0
1979	0
2103	1
2059	0
1907	1
1942	0
2077	0
2087	0
2100	0
1934	0
1909	1
2035	0
2121	0
1990	0
1900	0
1973	0
2117	0
2067	0
1907	0
1919	0
2066	1
2112	0
1945	0
1911	0
1909	0
2020	0
2121	0
2009	0
1895	1
1961	0
2105	0
2072	0
1926	0
1919	0
2038	0
2111	0
1971	0
1911	0
1996	0
2104	0
2043	1
2015	0
1898	0
1963	0
2101	1
2075	0
1914	0
1928	0
2059	0
2117	0
1983	0
1903	0
1992	1
2117	0
2041	0
1899	0
1935	1
1951	0
2103	0
2091	0
1928	0
1909	0
2036	0
2117	0
1975	0
1895	0
1983	0
2109	0
2059	0
1911	0
1931	0
2073	0
2109	0
1951	0
1944	1
1907	0
2025	1
2124	0
2013	0
1900	0
1963	1
2089	0
2095	0
1933	0
1909	1
1910	0
2055	0
2115	0
1977	0
1911	0
2004	0
2118	0
2043	1
1898	0
1940	0
2065	0
2108	0
1955	0
1899	0
2021	0
2121	1
2018	0
2001	1
1893	0
1976	0
2100	0
2063	0
1911	0
1939	1
2071	0
2121	0
1977	0
1898	0
2005	0
2109	1
2029	0
1908	0
1957	0
2079	0
2106	0
2075	0
1917	0
1925	0
2057	0
2104	0
1967	0
1903	0
1991	0
2117	0
2039	0
1914	1
1947	0
2083	1
2089	0
1935	1
1911	0
1913	1
2055	0
2105	1
1973	0
1899	1
1999	0
2111	1
2036	0
1903	1
1944	0
2083	1
2103	0
1950	0
1909	0
2025	0
2123	0
2008	1
1981	0
1907	1
1989	0
2117	1
2043	0
1909	1
1941	0
2077	1
2103	0
1945	1
1909	0
2015	1
2119	0
2007	0
1903	0
1974	1
1991	0
2116	1
2063	0
1916	0
1939	0
2072	1
2103	0
1939	0
1912	0
2019	1
2122	0
2021	1
1903	0
1960	1
2102	0
2075	1
1911	0
1913	0
1929	0
2069	1
2104	0
1950	0
1912	0
2020	0
2123	0
2019	0
1903	0
1957	0
2092	0
2092	0
1933	0
1919	1
2039	0
2123	1
2117	0
1975	0
1899	0
2003	1
2120	0
2039	1
1901	0
1947	1
2082	0
2105	1
1949	0
1907	1
2027	0
2111	0
2001	0
1897	1
1975	0
1981	1
2106	0
2043	1
1907	0
1943	1
2087	0
2101	0
1940	0
1912	0
2005	0
2117	0
2017	0
1903	1
1956	0
2090	1
2087	0
1927	1
1917	0
1925	1
2057	0
2105	1
1960	0
1901	1
2005	0
2120	1
2028	0
1902	0
1957	0
2092	1
2091	0
1927	0
1919	0
2038	1
2126	0
2116	1
1965	0
1899	1
2002	0
2117	0
2031	0
1912	1
1949	0
2087	1
2098	0
1940	0
1918	0
2025	1
2124	0
1998	0
1899	0
1897	0
1992	0
2118	1
2045	0
1903	1
1947	0
2091	0
2085	0
1937	1
1914	0
2027	1
2119	0
1993	1
1901	0
1976	1
2104	0
2044	0
2035	0
1909	0
1943	0
2084	1
2086	0
1939	1
1931	0
2038	1
2107	0
1993	0
1895	0
1980	1
2095	0
2063	0
1908	0
1939	1
2065	0
2071	1
2094	0
1944	0
1903	0
2015	0
2123	0
2004	0
1896	0
1957	0
2109	0
2087	0
1909	0
1915	0
2044	0
2111	1
1976	0
1907	1
1907	0
2007	1
2122	0
2023	1
1909	0
1951	1
2084	0
2094	1
1931	0
1909	0
2037	0
2119	1
1999	0
1903	0
1977	0
2103	0
2053	0
2031	1
1907	0
1951	0
2084	0
2093	1
1934	0
1917	1
2029	0
2123	1
2002	0
